title,author,genre,publication_year,isbn,stock,lending_status
Multi-channeled uniform instruction set,山本 里佳,3,1995,978-1-282-88752-7,2,1
Centralized uniform encryption,高橋 智也,5,1998,978-0-571-16579-7,0,2
Reactive client-server utilization,Jack Horn,2,2012,978-1-68805-249-9,1,1
Down-sized asymmetric focus group,山下 充,5,1998,978-1-163-73848-1,2,1
Multi-tiered 24/7 algorithm,吉田 健一,4,2009,978-1-09-219728-1,0,2
Exclusive analyzing system engine,山本 里佳,8,1985,978-0-89718-872-2,2,1
Upgradable didactic circuit,Nicole Rubio,8,2015,978-1-930897-87-8,2,1
Face-to-face homogeneous projection,松田 篤司,7,2022,978-1-72201-888-7,1,1
Visionary explicit strategy,松本 知実,2,2002,978-1-4686-6893-3,2,1
Profit-focused impactful structure,佐藤 陽子,1,1987,978-0-921590-29-3,2,1
Cloned bifurcated focus group,佐々木 陽子,2,1988,978-1-227-85048-7,0,2
Mandatory zero-defect architecture,吉田 裕太,5,2023,978-0-670-51812-8,2,1
Open-source tertiary neural-net,中川 聡太郎,2,1993,978-1-361-22756-5,2,1
Profit-focused user-facing matrix,佐藤 知実,6,1988,978-1-156-64408-9,2,1
Reactive 4thgeneration projection,Sarah Foster,8,1981,978-0-10-150167-5,1,1
Secured intermediate structure,Stephanie Guerrero,2,2016,978-0-8467-4216-6,2,1
Programmable grid-enabled knowledge user,鈴木 くみ子,1,1987,978-0-06-561880-8,1,1
Seamless web-enabled adapter,中川 淳,4,2005,978-0-10-663556-6,0,2
Vision-oriented directional knowledgebase,中村 桃子,5,1983,978-1-922706-28-7,1,1
Decentralized homogeneous monitoring,藤田 浩,4,2016,978-0-04-190225-9,0,2
Optional optimal Internet solution,Clinton Gray,1,1983,978-0-87356-564-6,0,2
Monitored bi-directional strategy,Felicia Brown,5,1997,978-0-7272-7491-5,2,1
Balanced next generation system engine,山田 花子,3,1981,978-0-86772-252-9,1,1
Front-line maximized framework,松本 翔太,3,2010,978-0-8366-8095-9,1,1
Pre-emptive reciprocal encryption,Courtney Orr,8,2008,978-0-85649-897-8,1,1
Cross-platform systematic strategy,Autumn Nelson,8,1990,978-1-255-14824-2,2,1
Versatile contextually-based Local Area Network,Dr. Robert Calderon,7,1991,978-0-87326-528-7,2,1
Persevering multi-state architecture,Kevin Porter,6,1996,978-0-549-65268-7,1,1
Multi-tiered grid-enabled moderator,岡本 零,3,2008,978-1-69542-409-8,2,1
Programmable multi-state installation,石川 浩,8,2017,978-1-4815-3920-3,0,2
Profit-focused multi-state alliance,田中 春香,6,1982,978-0-7564-4672-7,0,2
Cloned foreground open architecture,山崎 結衣,8,1988,978-0-7495-7783-4,1,1
Open-source 3rdgeneration conglomeration,Warren Friedman,4,1980,978-1-67211-142-3,2,1
Public-key composite analyzer,加藤 淳,4,2019,978-0-7348-1560-6,0,2
Automated global database,松本 修平,1,2010,978-0-19-122671-7,0,2
Multi-channeled stable matrices,Joel Mack,7,2020,978-1-4342-0477-6,0,2
Switchable impactful interface,Chad Roberts,4,2010,978-1-166-10196-1,2,1
Open-source empowering function,Heather Gentry,7,2023,978-0-7148-6133-3,2,1
Organized intermediate encoding,Rick Long,3,1996,978-1-123-64584-2,1,1
Multi-lateral 3rdgeneration open system,Monica Page,8,1992,978-1-70149-970-6,2,1
Re-contextualized radical software,Marc Bonilla,2,1987,978-0-89522-614-3,0,2
User-friendly modular database,佐々木 陽子,8,1997,978-1-4910-1595-7,2,1
Open-architected 6thgeneration matrices,Reginald Hunter DDS,8,2022,978-1-04-577259-6,2,1
Focused local flexibility,Nathaniel Hall,7,1988,978-1-61312-832-9,0,2
Fundamental human-resource hardware,Willie Schneider,1,2006,978-1-5442-6817-0,0,2
Adaptive national installation,Evelyn Johns,3,2003,978-1-375-82568-9,2,1
Quality-focused bottom-line core,Edwin Moore,4,2012,978-1-5015-5618-0,2,1
Optimized tangible attitude,Jesse Conway,1,1980,978-0-926086-05-0,2,1
Sharable holistic framework,後藤 あすか,4,1998,978-0-214-24395-0,1,1
De-engineered explicit flexibility,Paul Kelly,8,1991,978-0-7869-1763-1,2,1
Exclusive real-time methodology,Robin Anderson,2,2017,978-0-396-39189-0,1,1
Ergonomic homogeneous application,後藤 英樹,2,1989,978-0-646-77885-3,2,1
Versatile value-added functionalities,吉田 裕美子,2,2009,978-0-86164-916-7,2,1
Synchronized impactful artificial intelligence,佐藤 結衣,4,1983,978-0-232-89161-4,0,2
Assimilated 4thgeneration hardware,Ryan Stephenson,7,1987,978-1-930505-56-8,2,1
Synergized heuristic middleware,Matthew Dawson,8,1999,978-0-256-60005-6,2,1
Quality-focused explicit installation,Christopher Cooke,7,1982,978-1-59492-839-0,1,1
Team-oriented systematic policy,佐藤 結衣,5,1994,978-0-02-109469-1,2,1
Universal uniform projection,小林 裕太,1,1997,978-1-261-19236-9,2,1
Optional radical knowledgebase,清水 さゆり,1,2005,978-1-4859-5096-7,1,1
User-centric directional help-desk,Christopher Thompson,3,2016,978-0-07-401604-6,0,2
Reverse-engineered 5thgeneration superstructure,Andrew Rodriguez,8,2022,978-1-4622-9982-9,1,1
Vision-oriented leadingedge parallelism,岡田 陽子,8,2017,978-1-81777-478-0,2,1
Programmable high-level pricing structure,Mark Valdez,3,1986,978-0-216-34678-9,0,2
Focused homogeneous process improvement,Austin Hogan,2,2018,978-0-88932-621-7,2,1
Synergized encompassing ability,佐藤 桃子,4,1980,978-1-57264-802-9,1,1
Programmable mobile function,Christy Cochran,8,2000,978-1-365-20025-0,0,2
De-engineered intermediate policy,小林 知実,2,2003,978-1-62494-830-5,0,2
Multi-tiered value-added encoding,中村 明美,8,1995,978-1-352-64830-0,1,1
Face-to-face 3rdgeneration success,前田 裕太,2,1986,978-0-686-44790-0,1,1
Decentralized system-worthy artificial intelligence,Tiffany Hunter,8,1985,978-0-428-30891-9,2,1
Ergonomic asynchronous interface,Dennis Smith,1,1998,978-1-84168-205-1,0,2
Innovative client-driven Graphical User Interface,Albert Woodard DDS,7,2015,978-1-133-53251-4,1,1
Configurable explicit installation,林 裕美子,7,1986,978-0-00-305550-4,0,2
Secured optimal moderator,西村 加奈,2,2009,978-1-293-98473-4,0,2
Monitored analyzing knowledge user,加藤 智也,1,1996,978-1-72637-730-0,1,1
Multi-channeled motivating array,Randy Snyder,8,2007,978-1-4541-3008-6,2,1
Managed responsive neural-net,伊藤 裕美子,3,1985,978-1-898645-07-8,0,2
Advanced zero tolerance analyzer,鈴木 くみ子,5,1998,978-1-67064-347-6,0,2
Persevering well-modulated capacity,村上 英樹,6,1983,978-0-16-297684-9,0,2
Seamless zero-defect analyzer,高橋 知実,4,2020,978-1-64852-843-9,2,1
Ameliorated interactive parallelism,Courtney Jackson,8,2008,978-0-7999-5495-1,2,1
Fundamental eco-centric infrastructure,池田 浩,1,1987,978-1-290-86467-1,0,2
Quality-focused content-based standardization,加藤 稔,1,1986,978-1-282-40246-1,0,2
Reduced transitional collaboration,三浦 拓真,3,2001,978-0-85909-095-7,1,1
Customizable incremental algorithm,伊藤 修平,5,2013,978-0-922746-17-0,2,1
Future-proofed non-volatile orchestration,Mark Sanders,2,2016,978-1-884320-89-7,1,1
Synergistic cohesive core,Lori Vazquez,2,1997,978-0-8422-1765-1,1,1
Mandatory analyzing function,Douglas Cohen,8,1992,978-1-165-21262-0,1,1
Innovative uniform software,Patricia Bishop,1,2008,978-0-87670-353-3,2,1
Re-engineered 24hour Internet solution,山口 舞,4,1986,978-1-82415-539-8,2,1
De-engineered modular moderator,伊藤 香織,1,2007,978-0-394-49446-3,1,1
Assimilated bi-directional system engine,前田 淳,3,1999,978-0-17-045691-3,0,2
Face-to-face value-added circuit,Emily Hall,4,1980,978-0-379-34085-3,1,1
Re-engineered intangible hardware,Kurt Jones,1,2003,978-1-78619-025-3,1,1
Programmable zero-defect methodology,Jill Hamilton,4,2017,978-1-4873-6277-5,1,1
Realigned user-facing interface,小林 淳,8,2017,978-0-947129-78-1,0,2
Reduced 24hour artificial intelligence,後藤 康弘,1,2009,978-0-323-60481-9,1,1
Managed high-level matrices,山田 裕樹,4,2008,978-0-294-01138-8,1,1
Centralized fresh-thinking installation,前田 加奈,6,2021,978-0-491-93454-1,0,2
Synchronized encompassing support,Rebecca Kennedy,8,2006,978-1-05-807573-8,0,2
Synergistic full-range ability,高橋 あすか,6,1984,978-1-00-057922-2,0,2
Synchronized tangible Local Area Network,Jeffrey Nelson,4,2004,978-1-201-85084-7,2,1
Front-line empowering process improvement,Victor Giles,1,2000,978-1-5278-2818-6,2,1
Versatile scalable firmware,鈴木 京助,8,1990,978-1-148-95956-6,0,2
Reactive zero administration encoding,坂本 舞,2,1985,978-1-5106-6462-3,0,2
Ameliorated asymmetric extranet,吉田 淳,7,1992,978-1-03-475363-6,0,2
Reduced encompassing function,Charles Williams,2,1990,978-0-564-98492-3,0,2
Enterprise-wide exuding instruction set,Jennifer Jones,6,2020,978-1-77708-335-9,0,2
Profit-focused multimedia info-mediaries,橋本 結衣,3,2003,978-0-330-06070-7,1,1
Decentralized directional approach,山下 淳,2,1995,978-1-157-27166-6,1,1
Up-sized web-enabled software,木村 京助,7,1985,978-1-80079-413-9,0,2
Exclusive systemic workforce,Cheryl Camacho,1,1983,978-1-893771-43-7,0,2
Upgradable multimedia collaboration,Robert Hogan,2,1998,978-1-68806-900-8,0,2
Monitored systemic project,小林 拓真,6,1984,978-0-540-24757-8,2,1
Focused executive definition,Ashley Myers,1,2022,978-1-168-75804-0,2,1
Exclusive zero tolerance model,Dana Henderson,8,1986,978-0-08-036719-4,1,1
Down-sized intermediate Internet solution,佐藤 七夏,6,2012,978-0-316-17632-3,0,2
Horizontal intermediate portal,高橋 洋介,3,1984,978-1-161-10273-4,0,2
Front-line multimedia application,村上 花子,4,2021,978-0-8156-6324-9,1,1
Proactive fresh-thinking moratorium,高橋 晃,8,2009,978-1-933170-31-2,2,1
Open-source directional model,西村 直樹,6,1983,978-1-164-38281-2,2,1
Exclusive 24hour moderator,David Bailey,5,1997,978-1-117-13505-2,0,2
Organized 24hour archive,Michael Parker,4,1995,978-0-02-945627-9,1,1
Extended methodical projection,佐々木 裕美子,4,2006,978-0-9898449-0-1,1,1
Fundamental exuding adapter,Chelsea Estrada,1,2014,978-1-69840-808-8,0,2
Optimized exuding productivity,Laura Miller,7,2010,978-1-331-68222-6,0,2
Total didactic interface,Abigail Hanna,5,1987,978-0-699-25121-1,0,2
Fully-configurable zero administration interface,佐藤 直人,7,1984,978-1-5124-0189-9,2,1
Networked responsive budgetary management,木村 晃,6,2023,978-1-75001-259-8,1,1
Re-engineered static initiative,Danielle Ochoa,8,2014,978-0-7335-0216-3,0,2
Versatile bi-directional open architecture,John Davis,7,2009,978-0-493-34764-6,0,2
Seamless executive hierarchy,松本 花子,6,1987,978-1-86729-301-9,2,1
Switchable directional collaboration,Russell Ritter,7,2019,978-0-450-62294-6,0,2
Implemented 24hour groupware,Latoya Mills,1,2011,978-1-85308-638-0,0,2
Proactive maximized analyzer,鈴木 篤司,2,1995,978-0-640-67191-4,1,1
Visionary background hardware,Darin Gomez,6,2021,978-1-291-46249-4,2,1
Adaptive scalable infrastructure,Courtney Robbins,6,2006,978-1-66958-111-6,2,1
Organized upward-trending structure,中村 直子,1,2014,978-1-5426-0358-4,1,1
Vision-oriented stable capability,Andrew George,7,1993,978-0-16-719499-6,2,1
Multi-tiered zero-defect approach,Cheryl Davidson,8,2013,978-1-120-64376-6,0,2
Self-enabling logistical application,石川 香織,2,2006,978-0-451-33497-8,2,1
Front-line bi-directional groupware,鈴木 治,6,2021,978-1-5293-0849-5,2,1
Fully-configurable clear-thinking portal,Mark Austin,1,2012,978-0-01-944223-7,0,2
Ameliorated content-based flexibility,Kevin Parker MD,8,2009,978-1-80452-957-7,2,1
Grass-roots needs-based migration,Timothy Cooper,1,2022,978-1-323-35885-6,2,1
Vision-oriented multi-state project,Jessica Day,1,2004,978-1-930086-35-7,2,1
Reverse-engineered system-worthy encoding,小林 裕太,5,2000,978-0-07-713790-8,2,1
Exclusive client-driven hierarchy,三浦 裕美子,2,1996,978-0-383-15953-3,1,1
Ameliorated explicit support,John Mitchell,1,2011,978-0-12-456015-4,2,1
Quality-focused 5thgeneration secured line,Ethan Newman,1,1993,978-1-364-59652-1,1,1
Down-sized neutral array,鈴木 稔,8,2021,978-1-85566-366-4,2,1
Fully-configurable contextually-based interface,渡辺 淳,1,1998,978-0-535-26564-8,1,1
Enhanced background secured line,Nancy Soto,3,1985,978-1-211-83563-6,0,2
Right-sized optimizing open architecture,Kristin Flores,1,1986,978-0-13-079848-0,0,2
Pre-emptive multimedia Local Area Network,藤田 涼平,1,1982,978-1-316-27786-7,0,2
Ameliorated real-time paradigm,加藤 翼,4,1986,978-0-13-634323-3,1,1
Multi-layered homogeneous encryption,伊藤 知実,1,1984,978-1-67495-756-2,2,1
Seamless interactive challenge,木村 春香,8,2014,978-0-8123-4912-2,0,2
Profound human-resource benchmark,Nancy Smith,8,2014,978-1-63049-998-3,1,1
Right-sized bifurcated access,松本 明美,8,2018,978-1-71371-626-6,0,2
Down-sized clear-thinking algorithm,渡辺 幹,2,2023,978-1-55904-004-4,1,1
Reactive dedicated migration,Alison Freeman,6,2010,978-1-311-82713-5,2,1
Re-engineered hybrid access,Keith White,1,1995,978-1-67054-329-5,2,1
Triple-buffered holistic circuit,田中 翼,3,2008,978-1-908615-54-1,1,1
Open-source demand-driven frame,Caroline Collins,7,2011,978-1-878103-63-5,1,1
Intuitive methodical knowledgebase,Nancy Rich,8,1997,978-1-186-86718-2,1,1
Streamlined optimizing toolset,Anthony Heath,2,2014,978-1-207-69708-8,0,2
Implemented national emulation,Lisa Herrera,7,2009,978-0-304-26308-0,1,1
Automated client-server alliance,Jacob Robles,8,2014,978-1-08-206208-7,2,1
Extended real-time Graphical User Interface,伊藤 陽一,4,1982,978-1-04-029569-4,1,1
Cross-platform optimal website,西村 晃,1,2007,978-1-191-51592-4,2,1
Reverse-engineered hybrid toolset,Eduardo Hernandez,7,2016,978-0-612-08570-1,2,1
Switchable multi-state encryption,佐藤 加奈,3,2003,978-0-10-735807-5,2,1
Compatible methodical focus group,Jonathan Brady,1,2007,978-1-5425-9229-1,2,1
Synergistic radical concept,Connor Johnston,8,1995,978-0-385-57367-2,0,2
Up-sized secondary forecast,Amy Snyder,4,1986,978-1-4327-0534-3,2,1
Proactive demand-driven portal,中島 くみ子,8,2023,978-0-17-094080-1,0,2
Realigned intangible help-desk,Anthony Ingram,1,1981,978-0-7935-0726-9,2,1
Quality-focused system-worthy orchestration,高橋 知実,8,1983,978-0-496-15308-4,2,1
Function-based object-oriented task-force,Chris Huber,4,2003,978-0-435-04594-4,1,1
Function-based didactic workforce,山田 里佳,3,1986,978-0-04-258243-6,2,1
Cross-platform human-resource capability,鈴木 健一,8,1996,978-1-182-02798-6,1,1
Visionary fault-tolerant moratorium,Jose Henderson,5,2015,978-1-55788-382-7,0,2
Optional scalable forecast,Kristin Harrison,7,2015,978-0-509-09806-7,0,2
Proactive fresh-thinking structure,Wendy Martinez,1,1990,978-0-495-22463-1,1,1
Robust regional matrix,中村 直樹,2,1984,978-0-7853-9317-7,1,1
Object-based maximized array,高橋 結衣,7,1996,978-0-7347-8276-2,0,2
Multi-lateral tangible strategy,佐藤 拓真,7,1988,978-0-466-91033-4,2,1
Networked well-modulated workforce,Melissa Garrett,7,2009,978-1-4710-4666-7,1,1
Implemented discrete task-force,近藤 知実,2,2020,978-1-110-84358-9,0,2
Operative next generation time-frame,Cristina Park,3,2002,978-0-7420-2585-1,0,2
Persevering dynamic support,Timothy Matthews,8,1993,978-0-12-816896-7,1,1
Polarized holistic installation,Patricia Hunt,8,1980,978-1-158-48047-0,0,2
Streamlined solution-oriented complexity,森 くみ子,5,2021,978-0-492-93960-6,0,2
Multi-channeled stable policy,Monica Mitchell,5,1984,978-0-01-947470-2,0,2
Business-focused methodical flexibility,Thomas Stuart,3,1995,978-0-8251-2560-7,2,1
Seamless national function,Lori Hull,3,1990,978-1-124-48330-6,2,1
Assimilated 4thgeneration Graphic Interface,橋本 七夏,5,2001,978-0-89924-123-4,1,1
Vision-oriented heuristic focus group,藤田 くみ子,3,1988,978-0-260-10429-8,2,1
De-engineered web-enabled groupware,Laurie Lang,2,2008,978-1-74560-792-1,2,1
Progressive solution-oriented policy,林 晃,8,2002,978-1-925575-96-5,2,1
User-centric 24/7 toolset,中村 知実,7,1983,978-1-04-528497-6,1,1
Optimized mobile moratorium,Thomas Bean,5,1990,978-1-133-07614-8,2,1
Horizontal clear-thinking core,木村 晃,5,2010,978-0-620-89326-8,1,1
Networked holistic definition,Kimberly Tucker,4,1987,978-0-88039-700-1,1,1
Seamless uniform throughput,清水 陽子,5,2014,978-0-317-36717-1,2,1
Re-contextualized demand-driven parallelism,Travis Black,5,1994,978-0-330-88947-6,1,1
Virtual executive algorithm,斎藤 太郎,3,1987,978-0-7330-1425-3,2,1
Optional impactful info-mediaries,Jack Brown,5,2022,978-1-84851-303-7,2,1
Multi-lateral 5thgeneration focus group,田中 さゆり,2,2023,978-1-82236-682-6,2,1
Polarized client-driven matrix,Michael Sanchez,1,1981,978-0-9791313-2-5,1,1
Fully-configurable disintermediate middleware,Charles Garcia,6,2019,978-1-5436-3585-0,0,2
Polarized optimal superstructure,Rachel Simmons,1,1992,978-1-324-91904-9,2,1
Balanced discrete attitude,林 陽子,5,2003,978-0-472-81215-8,1,1
Visionary coherent application,Scott Stein,4,1982,978-1-57271-988-0,0,2
Centralized 6thgeneration info-mediaries,林 直人,8,1990,978-1-911061-36-6,1,1
Ergonomic 4thgeneration Graphic Interface,Mark Beasley,2,2020,978-0-473-26667-7,0,2
Reduced methodical groupware,伊藤 裕太,4,2015,978-0-498-30462-0,2,1
Up-sized radical capability,鈴木 直子,5,2013,978-1-939059-30-7,1,1
Team-oriented 5thgeneration parallelism,Paul Figueroa,6,2002,978-1-75797-445-5,0,2
Grass-roots eco-centric middleware,John Howell,4,1988,978-1-80048-664-5,1,1
Multi-layered asymmetric challenge,Megan Hernandez,8,2008,978-1-69753-144-2,1,1
Optional static portal,Russell Davidson,7,1997,978-1-227-12654-4,2,1
Implemented even-keeled protocol,藤原 充,8,2004,978-1-138-39299-1,1,1
Advanced fault-tolerant data-warehouse,中村 直人,1,2016,978-0-340-32991-7,1,1
Innovative 24hour hierarchy,Kathy Henry,4,2011,978-1-85876-532-7,1,1
Diverse bandwidth-monitored process improvement,近藤 翼,4,1990,978-0-8265-2657-1,0,2
Enterprise-wide neutral capacity,Brandon Meyers,5,1988,978-0-575-25721-4,1,1
Operative executive structure,Heather Lee,5,1983,978-0-211-77574-4,0,2
Multi-tiered tertiary algorithm,山本 舞,4,2022,978-0-567-03246-1,1,1
Visionary fresh-thinking instruction set,前田 くみ子,3,2019,978-1-08-143219-5,2,1
Multi-tiered exuding encoding,青木 智也,1,1984,978-0-216-56571-5,2,1
Digitized content-based forecast,小川 明美,7,1995,978-0-9856274-4-7,0,2
Cloned radical architecture,吉田 幹,2,1994,978-0-410-01070-7,2,1
Digitized modular firmware,山下 花子,5,1981,978-1-338-46587-7,0,2
Optional dedicated algorithm,Andrea Valentine,1,2016,978-0-03-354580-8,2,1
Business-focused fault-tolerant encoding,斎藤 稔,6,2020,978-1-76713-181-7,1,1
Synergistic regional database,佐々木 太郎,4,1986,978-1-4132-6748-8,1,1
Ergonomic well-modulated conglomeration,Johnathan Thompson,6,2011,978-1-04-356248-9,1,1
Public-key real-time definition,遠藤 拓真,1,2021,978-1-995811-85-7,1,1
Business-focused tertiary encoding,Natasha Burnett,2,2021,978-1-79900-485-1,2,1
Diverse incremental algorithm,Patrick Murphy,7,2005,978-0-332-66447-7,2,1
Synergistic bifurcated info-mediaries,中川 篤司,3,1999,978-0-7531-7549-1,0,2
Re-contextualized bandwidth-monitored extranet,Dana Underwood,8,1982,978-0-02-591296-0,0,2
Digitized web-enabled access,鈴木 和也,2,1988,978-1-319-88501-4,1,1
Team-oriented zero tolerance matrix,長谷川 春香,7,1982,978-1-5212-2766-4,1,1
Virtual systematic projection,Brett Boyer,1,2015,978-0-458-81260-8,1,1
Reverse-engineered asymmetric functionalities,小林 治,2,1983,978-0-8204-4090-3,0,2
Vision-oriented encompassing superstructure,池田 稔,1,2007,978-1-5475-7354-7,0,2
Implemented radical middleware,三浦 桃子,4,2002,978-1-281-69975-6,1,1
Exclusive upward-trending interface,Christopher Camacho,5,2005,978-0-07-705658-2,0,2
Proactive high-level interface,Tyler Holt,7,1993,978-0-339-07196-4,0,2
Multi-lateral hybrid extranet,池田 知実,4,1985,978-1-262-61721-2,1,1
Stand-alone zero tolerance framework,Ryan Lewis,4,1992,978-1-74319-614-4,0,2
Reduced asymmetric portal,佐藤 翼,8,1982,978-0-629-59120-2,1,1
Streamlined holistic initiative,Jose Wilcox Jr.,6,1981,978-1-05-721002-4,1,1
Robust value-added moratorium,Chloe Reeves,8,2009,978-1-79332-091-9,0,2
Enterprise-wide reciprocal focus group,Cory Alexander,5,1987,978-1-5161-5214-8,1,1
Vision-oriented static framework,佐藤 英樹,4,2009,978-0-8043-7044-8,1,1
Switchable holistic matrix,太田 直人,7,1998,978-0-550-97731-1,0,2
Sharable web-enabled hardware,Dan Hickman,3,1996,978-0-555-40995-4,1,1
Enterprise-wide directional frame,Charles Kelly,3,2008,978-1-235-46405-8,1,1
Grass-roots impactful model,Joshua Collins,2,1984,978-1-873026-13-7,0,2
Proactive multi-tasking model,Bradley Maxwell,8,1984,978-0-9866505-6-7,0,2
Stand-alone asynchronous throughput,Mary Griffin,3,1998,978-0-9524939-3-8,2,1
Advanced full-range flexibility,John Turner,3,2000,978-1-321-02038-0,2,1
Function-based scalable intranet,Andrea Conway,3,2012,978-1-7346994-3-2,1,1
Versatile leadingedge middleware,山口 明美,8,1998,978-0-89917-062-6,2,1
Implemented intangible hub,Jacqueline Smith,6,2000,978-1-81005-788-0,2,1
Cloned 4thgeneration hierarchy,Connie Frazier,4,1985,978-0-201-31402-1,2,1
Business-focused heuristic infrastructure,Sharon Rose,4,2023,978-0-8440-3450-8,0,2
Operative object-oriented extranet,Wesley Mitchell,1,2002,978-0-208-82490-5,2,1
Exclusive empowering infrastructure,Courtney Hebert,7,1980,978-1-947530-29-4,0,2
Versatile maximized protocol,山田 舞,4,2006,978-0-678-60611-7,0,2
Phased hybrid algorithm,Tiffany Smith,5,2007,978-0-03-803343-0,1,1
Multi-lateral tangible archive,岡田 稔,1,2011,978-0-88854-763-7,1,1
Mandatory multimedia collaboration,Jessica Rodriguez,1,2021,978-0-18-138600-1,2,1
Function-based eco-centric instruction set,Connor Morse,6,2020,978-0-246-17156-6,0,2
Synchronized 6thgeneration array,鈴木 翔太,6,1996,978-0-225-10746-3,2,1
Multi-tiered modular array,Alyssa Chavez,6,2010,978-1-135-56133-8,2,1
Diverse heuristic groupware,福田 香織,5,2008,978-0-8148-8601-4,0,2
Ameliorated tertiary encryption,岡本 春香,6,1991,978-1-05-551815-3,1,1
Cloned asymmetric structure,吉田 千代,4,1981,978-1-183-36263-5,0,2
Synergistic responsive paradigm,Tammy Francis,3,2007,978-1-4307-1105-6,2,1
Object-based impactful installation,Bryan Palmer,4,2001,978-0-257-20227-3,0,2
Pre-emptive systemic open system,山崎 陽一,3,2022,978-1-885689-99-3,2,1
Quality-focused mission-critical challenge,鈴木 桃子,2,2021,978-1-7325333-1-8,1,1
